country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180000,150000,0,0,0,0,0,0,0,0
Kenya,0,150000,0,0,0,0,0,0,0,40000,0,0,0,600000,0,0,0,0,0,0,0,2700000,0,0,1200000,0,1600000,0,0,23000000,0,0,0,0,2300000,3500000,0,0,1400000
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84000,0,0,0,0,0,0,0,0,0
Lao,0,0,0,0,0,0,0,3500000,0,0,0,0,0,0,0,0,0,0,730000,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,0,332000,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,0,475000,0
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macedonia, FYR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,0,950000,0,0,0,0,0,0,0,0,0,0,0,231000,0,600000,0,0,14000,0,0,0
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430000,0,0,2800000,0,7000000,0,0,0,0,0,0,0,0,0,2830000,0,0,5100000,0,520000,0
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,1500000,0,0,0,0,0,0,0,0,0,0,302000,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,25000,0,0
Mauritania,0,0,0,0,0,0,1420000,0,27000,0,1600000,0,0,0,0,0,0,0,0,0,0,0,0,447000,0,0,0,21400,0,0,0,1000000,0,0,0,0,0,0,0
